customer_id,first_name,last_name,email,signup_date,region_code,loyalty_tier
1,Customer1,LN1,customer1@shopmail.com,2022-04-13,SE,Bronze
2,Customer2,LN2,customer2@shopmail.com,2024-06-09,NE,Silver
3,Customer3,LN3,customer3@shopmail.com,2024-01-23,SW,Silver
4,Customer4,LN4,customer4@shopmail.com,2023-05-20,W,Bronze
5,Customer5,LN5,customer5@shopmail.com,2023-05-13,W,Bronze
6,Customer6,LN6,customer6@shopmail.com,2024-09-14,P,Bronze
7,Customer7,LN7,missing_7@shopmail.com,2022-04-09,MW,Silver
8,Customer8,LN8,customer8@shopmail.com,2024-03-12,W,Silver
9,Customer9,LN9,customer9@shopmail.com,2022-08-20,W,Silver
10,Customer10,LN10,customer10@shopmail.com,2022-04-19,SE,Bronze
11,Customer11,LN11,customer11@shopmail.com,2023-08-29,P,Bronze
12,Customer12,LN12,customer12@shopmail.com,2025-01-26,NE,Silver
13,Customer13,LN13,customer13@shopmail.com,2024-04-26,SW,Bronze
14,Customer14,LN14,customer14@shopmail.com,2024-05-25,P,Silver
15,Customer15,LN15,customer15@shopmail.com,2024-04-05,SW,Bronze
16,Customer16,LN16,customer16@shopmail.com,2024-06-22,P,Bronze
17,Customer17,LN17,customer17@shopmail.com,2023-08-14,NE,Silver
18,Customer18,LN18,customer18@shopmail.com,2022-05-28,SW,Bronze
19,Customer19,LN19,customer19@shopmail.com,2024-08-23,W,Silver
20,Customer20,LN20,customer20@shopmail.com,2023-06-02,SW,Bronze
21,Customer21,LN21,customer21@shopmail.com,2023-07-30,P,Gold
22,Customer22,LN22,customer22@shopmail.com,2023-03-03,MW,Silver
23,Customer23,LN23,customer23@shopmail.com,2022-07-29,W,Gold
24,Customer24,LN24,customer24@shopmail.com,2024-12-01,MW,Silver
25,Customer25,LN25,customer25@shopmail.com,2024-06-17,P,Silver
26,Customer26,LN26,customer26@shopmail.com,2024-01-11,NE,Silver
27,Customer27,LN27,customer27@shopmail.com,2023-04-08,SE,Bronze
28,Customer28,LN28,customer28@shopmail.com,2024-08-04,NE,Bronze
29,Customer29,LN29,customer29@shopmail.com,2023-09-20,W,Silver
30,Customer30,LN30,customer30@shopmail.com,2023-05-25,SE,Bronze
31,Customer31,LN31,customer31@shopmail.com,2023-06-03,SE,Bronze
32,Customer32,LN32,customer32@shopmail.com,2022-09-19,P,Gold
33,Customer33,LN33,customer33@shopmail.com,2022-04-16,MW,Bronze
34,Customer34,LN34,customer34@shopmail.com,2023-09-30,NE,Silver
35,Customer35,LN35,customer35@shopmail.com,2024-10-18,NE,Silver
36,Customer36,LN36,customer36@shopmail.com,2022-03-15,SE,Bronze
37,Customer37,LN37,customer37@shopmail.com,2024-09-14,P,Gold
38,Customer38,LN38,customer38@shopmail.com,2024-08-09,SW,Bronze
39,Customer39,LN39,customer39@shopmail.com,2022-11-15,P,Gold
40,Customer40,LN40,customer40@shopmail.com,2023-12-28,SE,Silver
41,Customer41,LN41,customer41@shopmail.com,2022-07-10,MW,Bronze
42,Customer42,LN42,customer42@shopmail.com,2024-05-21,NE,Bronze
43,Customer43,LN43,customer43@shopmail.com,2024-03-16,MW,Bronze
44,Customer44,LN44,customer44@shopmail.com,2023-02-12,SW,Bronze
45,Customer45,LN45,customer45@shopmail.com,2022-03-20,W,Bronze
46,Customer46,LN46,customer46@shopmail.com,2025-01-21,MW,Gold
47,Customer47,LN47,customer47@shopmail.com,2023-05-28,W,Bronze
48,Customer48,LN48,customer48@shopmail.com,2024-10-24,SW,Silver
49,Customer49,LN49,customer49@shopmail.com,2024-02-19,SE,Bronze
50,Customer50,LN50,customer50@shopmail.com,2024-06-14,P,Gold
51,Customer51,LN51,customer51@shopmail.com,2024-05-23,MW,Bronze
52,Customer52,LN52,customer52@shopmail.com,2022-08-12,NE,Bronze
53,Customer53,LN53,customer53@shopmail.com,2023-02-23,P,Silver
54,Customer54,LN54,customer54@shopmail.com,2023-06-21,P,Bronze
55,Customer55,LN55,customer55@shopmail.com,2023-07-27,NE,Silver
56,Customer56,LN56,customer56@shopmail.com,2022-02-20,P,Bronze
57,Customer57,LN57,customer57@shopmail.com,2023-09-21,P,Silver
58,Customer58,LN58,customer58@shopmail.com,2022-06-27,W,Silver
59,Customer59,LN59,customer59@shopmail.com,2024-05-04,SE,Silver
60,Customer60,LN60,customer60@shopmail.com,2024-02-25,SW,Bronze
61,Customer61,LN61,customer61@shopmail.com,2024-11-26,SW,Bronze
62,Customer62,LN62,customer62@shopmail.com,2024-05-06,SW,Bronze
63,Customer63,LN63,customer63@shopmail.com,2023-02-26,SW,Bronze
64,Customer64,LN64,customer64@shopmail.com,2025-01-17,SW,Bronze
65,Customer65,LN65,customer65@shopmail.com,2023-04-18,SW,Gold
66,Customer66,LN66,customer66@shopmail.com,2023-01-10,W,Silver
67,Customer67,LN67,customer67@shopmail.com,2024-11-07,SW,Silver
68,Customer68,LN68,customer68@shopmail.com,2023-03-03,NE,Bronze
69,Customer69,LN69,customer69@shopmail.com,2022-03-29,NE,Bronze
70,Customer70,LN70,missing_70@shopmail.com,2023-06-24,P,Silver
71,Customer71,LN71,customer71@shopmail.com,2024-07-04,P,Bronze
72,Customer72,LN72,customer72@shopmail.com,2022-08-06,SW,Bronze
73,Customer73,LN73,customer73@shopmail.com,2023-06-17,SE,Bronze
74,Customer74,LN74,customer74@shopmail.com,2022-05-30,W,Silver
75,Customer75,LN75,missing_75@shopmail.com,2024-02-29,NE,Gold
76,Customer76,LN76,customer76@shopmail.com,2023-07-02,MW,Bronze
77,Customer77,LN77,customer77@shopmail.com,2023-01-15,SE,Bronze
78,Customer78,LN78,customer78@shopmail.com,2022-09-18,NE,Bronze
79,Customer79,LN79,customer79@shopmail.com,2023-10-12,W,Bronze
80,Customer80,LN80,customer80@shopmail.com,2024-02-10,SW,Silver
81,Customer81,LN81,customer81@shopmail.com,2024-12-17,SE,Bronze
82,Customer82,LN82,customer82@shopmail.com,2023-05-18,SW,Silver
83,Customer83,LN83,customer83@shopmail.com,2022-07-04,NE,Bronze
84,Customer84,LN84,customer84@shopmail.com,2024-08-15,MW,Bronze
85,Customer85,LN85,customer85@shopmail.com,2023-12-26,SW,Gold
86,Customer86,LN86,customer86@shopmail.com,2024-03-16,MW,Bronze
87,Customer87,LN87,customer87@shopmail.com,2022-04-22,W,Silver
88,Customer88,LN88,customer88@shopmail.com,2022-12-26,SE,Bronze
89,Customer89,LN89,customer89@shopmail.com,2024-06-02,NE,Gold
90,Customer90,LN90,customer90@shopmail.com,2024-08-15,SW,Bronze
91,Customer91,LN91,customer91@shopmail.com,2023-05-16,P,Bronze
92,Customer92,LN92,customer92@shopmail.com,2024-07-14,MW,Silver
93,Customer93,LN93,customer93@shopmail.com,2024-08-25,NE,Bronze
94,Customer94,LN94,customer94@shopmail.com,2023-03-22,P,Bronze
95,Customer95,LN95,customer95@shopmail.com,2024-10-29,MW,Gold
96,Customer96,LN96,customer96@shopmail.com,2022-11-28,SE,Silver
97,Customer97,LN97,customer97@shopmail.com,2022-10-03,SW,Silver
98,Customer98,LN98,customer98@shopmail.com,2024-02-24,SE,Silver
99,Customer99,LN99,customer99@shopmail.com,2024-01-03,P,Silver
100,Customer100,LN100,customer100@shopmail.com,2022-06-10,SE,Gold
101,Customer101,LN101,customer101@shopmail.com,2024-08-15,SW,Silver
102,Customer102,LN102,customer102@shopmail.com,2022-08-18,SW,Bronze
103,Customer103,LN103,customer103@shopmail.com,2024-07-14,SE,Bronze
104,Customer104,LN104,customer104@shopmail.com,2022-01-09,MW,Silver
105,Customer105,LN105,customer105@shopmail.com,2024-07-05,NE,Silver
106,Customer106,LN106,customer106@shopmail.com,2024-06-23,SW,Bronze
107,Customer107,LN107,customer107@shopmail.com,2024-06-16,W,Bronze
108,Customer108,LN108,customer108@shopmail.com,2024-02-04,P,Bronze
109,Customer109,LN109,customer109@shopmail.com,2023-06-27,UNK,Silver
110,Customer110,LN110,customer110@shopmail.com,2024-03-21,SE,Silver
111,Customer111,LN111,customer111@shopmail.com,2022-11-15,SW,Bronze
112,Customer112,LN112,customer112@shopmail.com,2024-06-16,W,Silver
113,Customer113,LN113,customer113@shopmail.com,2023-10-01,P,Silver
114,Customer114,LN114,customer114@shopmail.com,2023-06-12,NE,Gold
115,Customer115,LN115,customer115@shopmail.com,2023-08-05,SE,Bronze
116,Customer116,LN116,customer116@shopmail.com,2023-10-17,SE,Gold
117,Customer117,LN117,missing_117@shopmail.com,2022-02-12,SE,Silver
118,Customer118,LN118,customer118@shopmail.com,2022-06-10,MW,Silver
119,Customer119,LN119,customer119@shopmail.com,2022-10-10,P,Bronze
120,Customer120,LN120,customer120@shopmail.com,2022-05-12,NE,Silver
121,Customer121,LN121,customer121@shopmail.com,2023-05-21,W,Silver
122,Customer122,LN122,customer122@shopmail.com,2024-02-08,SW,Bronze
123,Customer123,LN123,customer123@shopmail.com,2024-01-23,SW,Bronze
124,Customer124,LN124,customer124@shopmail.com,2023-06-26,W,Silver
125,Customer125,LN125,customer125@shopmail.com,2024-09-10,NE,Silver
126,Customer126,LN126,customer126@shopmail.com,2023-10-13,W,Bronze
127,Customer127,LN127,customer127@shopmail.com,2022-04-02,SE,Bronze
128,Customer128,LN128,customer128@shopmail.com,2024-05-29,SW,Bronze
129,Customer129,LN129,customer129@shopmail.com,2023-10-23,W,Gold
130,Customer130,LN130,customer130@shopmail.com,2023-12-31,SW,Gold
131,Customer131,LN131,customer131@shopmail.com,2023-10-13,SE,Bronze
132,Customer132,LN132,customer132@shopmail.com,2023-09-29,MW,Bronze
133,Customer133,LN133,customer133@shopmail.com,2022-04-15,MW,Bronze
134,Customer134,LN134,customer134@shopmail.com,2023-10-06,NE,Bronze
135,Customer135,LN135,customer135@shopmail.com,2024-07-03,W,Gold
136,Customer136,LN136,customer136@shopmail.com,2022-12-16,NE,Silver
137,Customer137,LN137,customer137@shopmail.com,2023-11-25,MW,Bronze
138,Customer138,LN138,customer138@shopmail.com,2022-02-05,SW,Bronze
139,Customer139,LN139,customer139@shopmail.com,2023-02-04,NE,Bronze
140,Customer140,LN140,customer140@shopmail.com,2023-05-18,P,Silver
141,Customer141,LN141,customer141@shopmail.com,2025-02-04,MW,Silver
142,Customer142,LN142,customer142@shopmail.com,2022-09-04,NE,Silver
143,Customer143,LN143,customer143@shopmail.com,2022-11-15,SW,Bronze
144,Customer144,LN144,customer144@shopmail.com,2023-04-15,SW,Gold
145,Customer145,LN145,customer145@shopmail.com,2025-02-15,SW,Bronze
146,Customer146,LN146,customer146@shopmail.com,2024-09-08,W,Silver
147,Customer147,LN147,customer147@shopmail.com,2022-02-09,MW,Gold
148,Customer148,LN148,customer148@shopmail.com,2022-09-27,W,Bronze
149,Customer149,LN149,customer149@shopmail.com,2024-08-02,MW,Gold
150,Customer150,LN150,customer150@shopmail.com,2022-03-09,SW,Bronze
151,Customer151,LN151,customer151@shopmail.com,2024-09-11,NE,Silver
152,Customer152,LN152,customer152@shopmail.com,2022-11-20,SW,Bronze
153,Customer153,LN153,customer153@shopmail.com,2024-11-21,SE,Bronze
154,Customer154,LN154,customer154@shopmail.com,2022-12-04,W,Bronze
155,Customer155,LN155,customer155@shopmail.com,2023-05-15,W,Bronze
156,Customer156,LN156,customer156@shopmail.com,2024-02-01,P,Bronze
157,Customer157,LN157,customer157@shopmail.com,2022-05-26,P,Bronze
158,Customer158,LN158,customer158@shopmail.com,2023-10-03,NE,Silver
159,Customer159,LN159,customer159@shopmail.com,2023-08-04,NE,Bronze
160,Customer160,LN160,customer160@shopmail.com,2024-06-20,P,Bronze
161,Customer161,LN161,customer161@shopmail.com,2025-02-19,MW,Gold
162,Customer162,LN162,customer162@shopmail.com,2024-02-03,NE,Gold
163,Customer163,LN163,customer163@shopmail.com,2023-04-16,SE,Bronze
164,Customer164,LN164,customer164@shopmail.com,2023-04-13,P,Bronze
165,Customer165,LN165,customer165@shopmail.com,2023-04-26,MW,Silver
166,Customer166,LN166,customer166@shopmail.com,2024-07-25,NE,Silver
167,Customer167,LN167,customer167@shopmail.com,2023-01-05,W,Bronze
