customer_key,customer_id,first_name,last_name,email,signup_date,loyalty_tier,region_key
1,1,Customer1,LN1,customer1@shopmail.com,2022-04-13,Bronze,4
2,2,Customer2,LN2,customer2@shopmail.com,2024-06-09,Silver,2
3,3,Customer3,LN3,customer3@shopmail.com,2024-01-23,Silver,5
4,4,Customer4,LN4,customer4@shopmail.com,2023-05-20,Bronze,7
5,5,Customer5,LN5,customer5@shopmail.com,2023-05-13,Bronze,7
6,6,Customer6,LN6,customer6@shopmail.com,2024-09-14,Bronze,3
7,7,Customer7,LN7,missing_7@shopmail.com,2022-04-09,Silver,1
8,8,Customer8,LN8,customer8@shopmail.com,2024-03-12,Silver,7
9,9,Customer9,LN9,customer9@shopmail.com,2022-08-20,Silver,7
10,10,Customer10,LN10,customer10@shopmail.com,2022-04-19,Bronze,4
11,11,Customer11,LN11,customer11@shopmail.com,2023-08-29,Bronze,3
12,12,Customer12,LN12,customer12@shopmail.com,2025-01-26,Silver,2
13,13,Customer13,LN13,customer13@shopmail.com,2024-04-26,Bronze,5
14,14,Customer14,LN14,customer14@shopmail.com,2024-05-25,Silver,3
15,15,Customer15,LN15,customer15@shopmail.com,2024-04-05,Bronze,5
16,16,Customer16,LN16,customer16@shopmail.com,2024-06-22,Bronze,3
17,17,Customer17,LN17,customer17@shopmail.com,2023-08-14,Silver,2
18,18,Customer18,LN18,customer18@shopmail.com,2022-05-28,Bronze,5
19,19,Customer19,LN19,customer19@shopmail.com,2024-08-23,Silver,7
20,20,Customer20,LN20,customer20@shopmail.com,2023-06-02,Bronze,5
21,21,Customer21,LN21,customer21@shopmail.com,2023-07-30,Gold,3
22,22,Customer22,LN22,customer22@shopmail.com,2023-03-03,Silver,1
23,23,Customer23,LN23,customer23@shopmail.com,2022-07-29,Gold,7
24,24,Customer24,LN24,customer24@shopmail.com,2024-12-01,Silver,1
25,25,Customer25,LN25,customer25@shopmail.com,2024-06-17,Silver,3
26,26,Customer26,LN26,customer26@shopmail.com,2024-01-11,Silver,2
27,27,Customer27,LN27,customer27@shopmail.com,2023-04-08,Bronze,4
28,28,Customer28,LN28,customer28@shopmail.com,2024-08-04,Bronze,2
29,29,Customer29,LN29,customer29@shopmail.com,2023-09-20,Silver,7
30,30,Customer30,LN30,customer30@shopmail.com,2023-05-25,Bronze,4
